Area,Central Asset ID,Class,Feature Location,Number,Maintaining Authority,Site Name,Ward,long,lat
Buninyong,,No Code Allocated,,2,,,South,,-37.65016260033977
Learmonth,,No Code Allocated,,1,,,North,,-37.42288154864535
Alfredton,,OS-District,,2,,,North,,-37.554394028449096
Black Hill,,OS-Neighbourhood,,1,,,Central,,-37.548972947958056
Buninyong,,No Code Allocated,,2,,,South,,-37.65256241373739
Buninyong,,OS-District,,1,,,South,,-37.649247968668334
Canadian,,No Code Allocated,,2,,,South,,-37.588149744859464
Cardigan Village,,No Code Allocated,,1,,,North,,-37.51452194301104
Buninyong,,No Code Allocated,,2,,,South,,-37.649009969960595
Delacombe,,No Code Allocated,,2,,,South,,-37.582646491484404
Eureka,,No Code Allocated,,2,,,Central,,-37.564864468698545
Eureka,,No Code Allocated,,2,,,Central,,-37.565176168567824
Eureka,,OS-Regional,,1,,,Central,,-37.564618941950116
Invermay,,No Code Allocated,,1,,,North,,-37.52220446683634
Canadian,,No Code Allocated,,2,,,South,,-37.57548437537523
Lake Wendouree,,No Code Allocated,,2,,,Central,,-37.54978209707576
Lake Wendouree,,No Code Allocated,,2,,,Central,,-37.55079006455974
Lake Wendouree,,No Code Allocated,,2,,,Central,,-37.55158899127889
Bakery Hill,,No Code Allocated,,2,,,Central,,-37.56606342431519
Ballarat North,,OS-Neighbourhood,,1,,,North,,-37.539873021809065
Miners Rest,,No Code Allocated,,1,,,North,,-37.480451960352916
Lake Wendouree,,No Code Allocated,,2,,,Central,,-37.545327444364894
Brown Hill,,No Code Allocated,,1,,,Central,,-37.556019192916864
Brown Hill,,No Code Allocated,,1,,,Central,,-37.55588046711349
Newington,,No Code Allocated,,1,,,Central,,-37.55762124615731
Newington,,No Code Allocated,,2,,,Central,,-37.557440283374795
Newington,,No Code Allocated,,1,,,Central,,-37.5570573825237
Newington,,OS-Regional,,1,,,Central,,-37.55809907267304
Sebastopol,,PG-District,,1,,,South,,-37.593178972522445
Wendouree,,No Code Allocated,,2,,,North,,-37.53140464956482
