Area,Central Asset ID,Class,Feature Location,Maintaining Authority,Site Name,Type,Ward,long,lat
Lake Wendouree,00212293,OS-Regional,Ballarat Botanical Gardens,City of Ballarat,Ballarat Botanical Gardens,Basin w Closed Tap,Central,143.822694025132,-37.5463240144254
Buninyong,00227877,No Code Allocated,,City of Ballarat,Buninyong Municipal Reserve,,South,143.884593560394,-37.6506913918948
Buninyong,00212622,OS-District,De Soza Park (Tannery Flat),City of Ballarat,De Soza Park,Decorative,South,143.884095037215,-37.6491219752989
Ballarat East,00212661,No Code Allocated,Eastern Oval,City of Ballarat,Eastern Oval,Stainless,Central,143.86457599636,-37.5579929606651
Eureka,00212725,OS-Regional,,City of Ballarat,Eureka Stockade,Fountain with Tap Round Frame,Central,143.884846939771,-37.5650639478915
Ballarat North,00212734,OS-Neighbourhood,Inkerman Gully,City of Ballarat,Inkerman Gully Reserve,Steel Top on Pillar,North,143.873745036838,-37.5422529888533
Invermay,00212746,OS-District,Invermay Recreation Reserve,City of Ballarat,Invermay Recreation Reserve,Steel Top on Pillar,North,143.874491020136,-37.5222199571839
Lake Wendouree,00212817,OS-State,Lake Wendouree,City of Ballarat,Lake Wendouree Reserve,Mouthguard on bollard,Central,143.822507056783,-37.5483540154897
Lake Wendouree,00212818,OS-State,Lake Wendouree,City of Ballarat,Lake Wendouree Reserve,Mouthguard on bollard w button,Central,143.822869191536,-37.547283073594
Lake Wendouree,00212819,OS-State,Lake Wendouree,City of Ballarat,Lake Wendouree Reserve,Mouthguard on bollard w button,Central,143.823102034489,-37.5461899941747
Lake Wendouree,00212820,OS-State,Lake Wendouree,City of Ballarat,Lake Wendouree Reserve,Mouthguard on bollard,Central,143.831119004118,-37.5435669780826
Lake Wendouree,00225767,OS-State,,City of Ballarat,Lake Wendouree Reserve,,Central,143.831830772934,-37.5562271915388
Lake Wendouree,00225769,OS-State,,City of Ballarat,Lake Wendouree Reserve,,Central,143.822551946839,-37.5539425820248
Lake Wendouree,00225770,OS-State,,City of Ballarat,Lake Wendouree Reserve,,Central,143.831164447591,-37.5436015702119
Lake Wendouree,00225771,OS-State,,City of Ballarat,Lake Wendouree Reserve,,Central,143.843720516958,-37.5459351601464
Lake Wendouree,00230570,No Code Allocated,,City of Ballarat,Lake Wendouree Reserve,,Central,143.82288243317,-37.547340065192
Lake Wendouree,00251873,No Code Allocated,Forrest street,City of Ballarat,Lake Wendouree Reserve,Bottle fill.,Central,143.831088081288,-37.5436260195857
Golden Point,00213119,OS-Regional,Llanberris Athletics Reserve,City of Ballarat,Llanberris Athletics Reserve,Stainless on Timber Post,Central,143.865467051641,-37.5691090272519
Golden Point,00213120,OS-Regional,Llanberris Athletics Reserve,City of Ballarat,Llanberris Athletics Reserve,Stainless Bowl,Central,143.86596204529,-37.5699640059379
Golden Point,00213121,OS-Regional,Llanberris Athletics Reserve,City of Ballarat,Llanberris Athletics Reserve,Ball End Stainless - Timber Post,Central,143.86673696308,-37.5698410125363
Golden Point,00213122,OS-Regional,Llanberris Athletics Reserve,City of Ballarat,Llanberris Athletics Reserve,Stainless Bowl,Central,143.867350966543,-37.5696400190063
Sebastopol,00213186,OS-District,,City of Ballarat,Marty Busch Reserve,Fountain w Tap,South,143.843505000647,-37.604783988598
Sebastopol,00213187,OS-District,,City of Ballarat,Marty Busch Reserve,On Steel Pole - Missing Parts,South,143.843453982532,-37.6048450495226
Newington,00213643,OS-Regional,,City of Ballarat,Victoria Park,Fountain on square post,Central,143.823194986837,-37.5580660118294
Buninyong,00225741,R-Primary Access Road,Out the front of Buninyong Town Hall,City of Ballarat,Learmonth Street service road (south),,South,143.884647701069,-37.6506408695089
Ballarat Central,00224753,No Code Allocated,,City of Ballarat,Sturt Street,,Central,143.847323401397,-37.5608049488126
Ballarat Central,00224763,No Code Allocated,,City of Ballarat,Sturt Street,,Central,143.846787659828,-37.5606530728097
Ballarat Central,00224765,No Code Allocated,,City of Ballarat,Sturt Street,,Central,143.846767572595,-37.560731950578
